-0.6241726198050337 -0.6241726198050337 -0.6241726198050337 | 1 0
4.019771336105498 4.019771336105498 4.019771336105498 | 1 0
-4.372334816531715 -4.372334816531715 -4.372334816531715 | 0 1
-0.14336297411776755 -0.14336297411776755 -0.14336297411776755 | 1 0
-4.674045102444021 -4.674045102444021 -4.674045102444021 | 0 1
2.7096274791212966 2.7096274791212966 2.7096274791212966 | 0 1
-5.564960018992984 -5.564960018992984 -5.564960018992984 | 0 1
-3.0764846463980366 -3.0764846463980366 -3.0764846463980366 | 1 0
5.009559911688937 5.009559911688937 5.009559911688937 | 1 0
-0.31707318708213705 -0.31707318708213705 -0.31707318708213705 | 1 0
1.4163081330924134 1.4163081330924134 1.4163081330924134 | 0 1
4.80282286538846 4.80282286538846 4.80282286538846 | 1 0
1.7926140258673549 1.7926140258673549 1.7926140258673549 | 0 1
-1.6754407206300233 -1.6754407206300233 -1.6754407206300233 | 1 0
-3.5471210506795967 -3.5471210506795967 -3.5471210506795967 | 0 1
6.106325846312853 6.106325846312853 6.106325846312853 | 1 0
-4.990317481817589 -4.990317481817589 -4.990317481817589 | 0 1
0.6791737406086478 0.6791737406086478 0.6791737406086478 | 0 1
1.2099333379319166 1.2099333379319166 1.2099333379319166 | 0 1
2.764643522567729 2.764643522567729 2.764643522567729 | 0 1
5.370024742104075 5.370024742104075 5.370024742104075 | 1 0
-1.589626626549144 -1.589626626549144 -1.589626626549144 | 1 0
-4.977397254859615 -4.977397254859615 -4.977397254859615 | 0 1
-4.662635462397663 -4.662635462397663 -4.662635462397663 | 0 1
-1.9099347385266325 -1.9099347385266325 -1.9099347385266325 | 1 0
0.3270861930322999 0.3270861930322999 0.3270861930322999 | 0 1
5.227146491007002 5.227146491007002 5.227146491007002 | 1 0
-1.4695760452087177 -1.4695760452087177 -1.4695760452087177 | 1 0
1.5396605652425261 1.5396605652425261 1.5396605652425261 | 0 1
-4.054282847025309 -4.054282847025309 -4.054282847025309 | 0 1
-3.1793644511936576 -3.1793644511936576 -3.1793644511936576 | 0 1
6.138352719128205 6.138352719128205 6.138352719128205 | 1 0
-2.263232398829107 -2.263232398829107 -2.263232398829107 | 1 0
-0.7859983811721758 -0.7859983811721758 -0.7859983811721758 | 1 0
-2.8516535881539657 -2.8516535881539657 -2.8516535881539657 | 1 0
3.298982395608242 3.298982395608242 3.298982395608242 | 1 0
-1.3064345384137468 -1.3064345384137468 -1.3064345384137468 | 1 0
-1.8403237551424656 -1.8403237551424656 -1.8403237551424656 | 1 0
1.8372930149621034 1.8372930149621034 1.8372930149621034 | 0 1
-1.63538976291637 -1.63538976291637 -1.63538976291637 | 1 0
-0.7969519233273878 -0.7969519233273878 -0.7969519233273878 | 1 0
-5.434472179805096 -5.434472179805096 -5.434472179805096 | 0 1
-1.1523758939823718 -1.1523758939823718 -1.1523758939823718 | 1 0
0.8939295202657691 0.8939295202657691 0.8939295202657691 | 0 1
3.140431571280068 3.140431571280068 3.140431571280068 | 0 1
-2.6735764880228183 -2.6735764880228183 -2.6735764880228183 | 1 0
-2.4394792861861716 -2.4394792861861716 -2.4394792861861716 | 1 0
5.728045929478286 5.728045929478286 5.728045929478286 | 1 0
-1.4873052358110455 -1.4873052358110455 -1.4873052358110455 | 1 0
-2.657706588155093 -2.657706588155093 -2.657706588155093 | 1 0
3.797857115434912 3.797857115434912 3.797857115434912 | 1 0
3.33464424522297 3.33464424522297 3.33464424522297 | 1 0
-1.3490892391447735 -1.3490892391447735 -1.3490892391447735 | 1 0
-0.8975703312240118 -0.8975703312240118 -0.8975703312240118 | 1 0
3.053730972583626 3.053730972583626 3.053730972583626 | 0 1
-0.6940306833249297 -0.6940306833249297 -0.6940306833249297 | 1 0
3.6888646007987287 3.6888646007987287 3.6888646007987287 | 1 0
1.2548662290327846 1.2548662290327846 1.2548662290327846 | 0 1
2.581563308859428 2.581563308859428 2.581563308859428 | 0 1
4.441465092503229 4.441465092503229 4.441465092503229 | 1 0
5.330394239899308 5.330394239899308 5.330394239899308 | 1 0
6.018444998405581 6.018444998405581 6.018444998405581 | 1 0
4.0157757541917505 4.0157757541917505 4.0157757541917505 | 1 0
-0.33069006001626544 -0.33069006001626544 -0.33069006001626544 | 1 0
2.7461618427012304 2.7461618427012304 2.7461618427012304 | 0 1
2.1277900336822544 2.1277900336822544 2.1277900336822544 | 0 1
1.492193278697255 1.492193278697255 1.492193278697255 | 0 1
1.9667442547903065 1.9667442547903065 1.9667442547903065 | 0 1
6.214383719438967 6.214383719438967 6.214383719438967 | 1 0
2.3833823840294297 2.3833823840294297 2.3833823840294297 | 0 1
6.052866918327588 6.052866918327588 6.052866918327588 | 1 0
-2.316310726327063 -2.316310726327063 -2.316310726327063 | 1 0
-2.75899468988007 -2.75899468988007 -2.75899468988007 | 1 0
-4.308824244428063 -4.308824244428063 -4.308824244428063 | 0 1
-3.458735946026597 -3.458735946026597 -3.458735946026597 | 0 1
0.8942361215070376 0.8942361215070376 0.8942361215070376 | 0 1
6.008297100728511 6.008297100728511 6.008297100728511 | 1 0
3.157976724940335 3.157976724940335 3.157976724940335 | 1 0
3.123040454104034 3.123040454104034 3.123040454104034 | 0 1
5.072300841670588 5.072300841670588 5.072300841670588 | 1 0
4.216161768186648 4.216161768186648 4.216161768186648 | 1 0
5.40234822450811 5.40234822450811 5.40234822450811 | 1 0
-3.4656161967945445 -3.4656161967945445 -3.4656161967945445 | 0 1
2.0803010401089033 2.0803010401089033 2.0803010401089033 | 0 1
-0.7567301735001326 -0.7567301735001326 -0.7567301735001326 | 1 0
4.0652154268324985 4.0652154268324985 4.0652154268324985 | 1 0
-3.218419378087028 -3.218419378087028 -3.218419378087028 | 0 1
-1.3762042704027042 -1.3762042704027042 -1.3762042704027042 | 1 0
2.642884646561491 2.642884646561491 2.642884646561491 | 0 1
-3.1294569858315437 -3.1294569858315437 -3.1294569858315437 | 1 0
2.158970247191151 2.158970247191151 2.158970247191151 | 0 1
0.3817208795656608 0.3817208795656608 0.3817208795656608 | 0 1
-1.8936945981420523 -1.8936945981420523 -1.8936945981420523 | 1 0
1.2085190759245634 1.2085190759245634 1.2085190759245634 | 0 1
-0.9386066276096008 -0.9386066276096008 -0.9386066276096008 | 1 0
0.8162986341310869 0.8162986341310869 0.8162986341310869 | 0 1
-1.1330487080469327 -1.1330487080469327 -1.1330487080469327 | 1 0
-5.612036241974984 -5.612036241974984 -5.612036241974984 | 0 1
-2.7400447142505016 -2.7400447142505016 -2.7400447142505016 | 1 0
3.707109867634241 3.707109867634241 3.707109867634241 | 1 0
4.304768550339858 4.304768550339858 4.304768550339858 | 1 0
0.19368747346230908 0.19368747346230908 0.19368747346230908 | 0 1
2.2885986105404594 2.2885986105404594 2.2885986105404594 | 0 1
-0.2813456312522824 -0.2813456312522824 -0.2813456312522824 | 1 0
3.1381765231024037 3.1381765231024037 3.1381765231024037 | 0 1
-3.6084292142281282 -3.6084292142281282 -3.6084292142281282 | 0 1
1.4325910355713685 1.4325910355713685 1.4325910355713685 | 0 1
1.9096336482113276 1.9096336482113276 1.9096336482113276 | 0 1
-4.093640751591007 -4.093640751591007 -4.093640751591007 | 0 1
-4.636815342981167 -4.636815342981167 -4.636815342981167 | 0 1
-1.6142405106181457 -1.6142405106181457 -1.6142405106181457 | 1 0
2.6656634475179857 2.6656634475179857 2.6656634475179857 | 0 1
6.045678529028695 6.045678529028695 6.045678529028695 | 1 0
-3.424938276434015 -3.424938276434015 -3.424938276434015 | 0 1
0.1921557246504646 0.1921557246504646 0.1921557246504646 | 0 1
0.5076524739028212 0.5076524739028212 0.5076524739028212 | 0 1
-4.647080273865365 -4.647080273865365 -4.647080273865365 | 0 1
0.7285475374495363 0.7285475374495363 0.7285475374495363 | 0 1
-1.2619819552331375 -1.2619819552331375 -1.2619819552331375 | 1 0
-3.487250306967933 -3.487250306967933 -3.487250306967933 | 0 1
3.9433757687911246 3.9433757687911246 3.9433757687911246 | 1 0
-1.849494373785448 -1.849494373785448 -1.849494373785448 | 1 0
-6.1845510904229695 -6.1845510904229695 -6.1845510904229695 | 0 1
4.294240951077509 4.294240951077509 4.294240951077509 | 1 0
2.106872838270702 2.106872838270702 2.106872838270702 | 0 1
-3.01847272600396 -3.01847272600396 -3.01847272600396 | 1 0
5.588994567885365 5.588994567885365 5.588994567885365 | 1 0
6.086376094853289 6.086376094853289 6.086376094853289 | 1 0
2.5035505528290756 2.5035505528290756 2.5035505528290756 | 0 1
-0.27317740874382856 -0.27317740874382856 -0.27317740874382856 | 1 0
1.3598146049155035 1.3598146049155035 1.3598146049155035 | 0 1
-2.7281419647065004 -2.7281419647065004 -2.7281419647065004 | 1 0
2.4647040398868647 2.4647040398868647 2.4647040398868647 | 0 1
5.252187888709173 5.252187888709173 5.252187888709173 | 1 0
2.857351825650534 2.857351825650534 2.857351825650534 | 0 1
2.8917383388366975 2.8917383388366975 2.8917383388366975 | 0 1
2.2844666098735757 2.2844666098735757 2.2844666098735757 | 0 1
2.389494345248872 2.389494345248872 2.389494345248872 | 0 1
3.5424859069016517 3.5424859069016517 3.5424859069016517 | 1 0
-1.0736468908680497 -1.0736468908680497 -1.0736468908680497 | 1 0
-1.2243920790081742 -1.2243920790081742 -1.2243920790081742 | 1 0
5.858556218363706 5.858556218363706 5.858556218363706 | 1 0
5.600438493783432 5.600438493783432 5.600438493783432 | 1 0
1.524411646650055 1.524411646650055 1.524411646650055 | 0 1
-4.446891251050776 -4.446891251050776 -4.446891251050776 | 0 1
-4.819279719420414 -4.819279719420414 -4.819279719420414 | 0 1
-2.502488084941101 -2.502488084941101 -2.502488084941101 | 1 0
1.9045998674801705 1.9045998674801705 1.9045998674801705 | 0 1
-4.604178559907958 -4.604178559907958 -4.604178559907958 | 0 1
0.6515598953978436 0.6515598953978436 0.6515598953978436 | 0 1
-4.5387801392689155 -4.5387801392689155 -4.5387801392689155 | 0 1
-4.03817593922045 -4.03817593922045 -4.03817593922045 | 0 1
-0.6040815027510398 -0.6040815027510398 -0.6040815027510398 | 1 0
-4.710319696559651 -4.710319696559651 -4.710319696559651 | 0 1
0.4243127310268946 0.4243127310268946 0.4243127310268946 | 0 1
-3.743159930209925 -3.743159930209925 -3.743159930209925 | 0 1
0.9433344670257879 0.9433344670257879 0.9433344670257879 | 0 1
3.8099439160429203 3.8099439160429203 3.8099439160429203 | 1 0
3.1393433893092375 3.1393433893092375 3.1393433893092375 | 0 1
-0.89961032251282 -0.89961032251282 -0.89961032251282 | 1 0
-4.319685007808621 -4.319685007808621 -4.319685007808621 | 0 1
4.5237523757913 4.5237523757913 4.5237523757913 | 1 0
-4.683291670570664 -4.683291670570664 -4.683291670570664 | 0 1
1.0963716699658228 1.0963716699658228 1.0963716699658228 | 0 1
2.3810073511979972 2.3810073511979972 2.3810073511979972 | 0 1
-3.424023306787208 -3.424023306787208 -3.424023306787208 | 0 1
-3.5351921666123225 -3.5351921666123225 -3.5351921666123225 | 0 1
-4.412943882621679 -4.412943882621679 -4.412943882621679 | 0 1
5.348160235178602 5.348160235178602 5.348160235178602 | 1 0
-1.1743508947166488 -1.1743508947166488 -1.1743508947166488 | 1 0
-0.20017445783635246 -0.20017445783635246 -0.20017445783635246 | 1 0
-5.537457785438156 -5.537457785438156 -5.537457785438156 | 0 1
4.650937570846603 4.650937570846603 4.650937570846603 | 1 0
-1.1206386183263417 -1.1206386183263417 -1.1206386183263417 | 1 0
-2.1536814602596763 -2.1536814602596763 -2.1536814602596763 | 1 0
-4.630048834003493 -4.630048834003493 -4.630048834003493 | 0 1
-6.09157038634145 -6.09157038634145 -6.09157038634145 | 0 1
0.7546696079074939 0.7546696079074939 0.7546696079074939 | 0 1
-4.7910142711412975 -4.7910142711412975 -4.7910142711412975 | 0 1
0.7702442012754105 0.7702442012754105 0.7702442012754105 | 0 1
-3.1259589437414896 -3.1259589437414896 -3.1259589437414896 | 1 0
0.9703415234129311 0.9703415234129311 0.9703415234129311 | 0 1
6.230046963012612 6.230046963012612 6.230046963012612 | 1 0
-1.472688235885414 -1.472688235885414 -1.472688235885414 | 1 0
1.2007730353622286 1.2007730353622286 1.2007730353622286 | 0 1
-5.371063554109503 -5.371063554109503 -5.371063554109503 | 0 1
0.6103418972337185 0.6103418972337185 0.6103418972337185 | 0 1
-5.830271306214792 -5.830271306214792 -5.830271306214792 | 0 1
-0.26456802277466274 -0.26456802277466274 -0.26456802277466274 | 1 0
2.238265039439103 2.238265039439103 2.238265039439103 | 0 1
2.597279108822544 2.597279108822544 2.597279108822544 | 0 1
-1.7066924126523828 -1.7066924126523828 -1.7066924126523828 | 1 0
3.694037129538394 3.694037129538394 3.694037129538394 | 1 0
-0.23357230612060764 -0.23357230612060764 -0.23357230612060764 | 1 0
1.9837132103523683 1.9837132103523683 1.9837132103523683 | 0 1
-4.560011291939538 -4.560011291939538 -4.560011291939538 | 0 1
-2.407176332831066 -2.407176332831066 -2.407176332831066 | 1 0
4.31850081296208 4.31850081296208 4.31850081296208 | 1 0
-1.4018529711962282 -1.4018529711962282 -1.4018529711962282 | 1 0
-3.1026320954410993 -3.1026320954410993 -3.1026320954410993 | 1 0
-0.1858643778642941 -0.1858643778642941 -0.1858643778642941 | 1 0
1.0116956988127184 1.0116956988127184 1.0116956988127184 | 0 1
2.966152676662734 2.966152676662734 2.966152676662734 | 0 1
0.15248122577056034 0.15248122577056034 0.15248122577056034 | 0 1
-5.428202820422315 -5.428202820422315 -5.428202820422315 | 0 1
6.198480205111386 6.198480205111386 6.198480205111386 | 1 0
-4.485462715618729 -4.485462715618729 -4.485462715618729 | 0 1
2.5978316648971056 2.5978316648971056 2.5978316648971056 | 0 1
-1.8668286299478014 -1.8668286299478014 -1.8668286299478014 | 1 0
-2.7546019570466975 -2.7546019570466975 -2.7546019570466975 | 1 0
2.8853530011688377 2.8853530011688377 2.8853530011688377 | 0 1
-0.1091092025250564 -0.1091092025250564 -0.1091092025250564 | 1 0
3.2602667824321436 3.2602667824321436 3.2602667824321436 | 1 0
-5.225360739826584 -5.225360739826584 -5.225360739826584 | 0 1
-5.043495165492912 -5.043495165492912 -5.043495165492912 | 0 1
0.6359396793562322 0.6359396793562322 0.6359396793562322 | 0 1
-5.262886696826705 -5.262886696826705 -5.262886696826705 | 0 1
-0.20940985794197697 -0.20940985794197697 -0.20940985794197697 | 1 0
-6.217552186663468 -6.217552186663468 -6.217552186663468 | 0 1
1.5848386265885912 1.5848386265885912 1.5848386265885912 | 0 1
5.443948906360422 5.443948906360422 5.443948906360422 | 1 0
0.5736377917313611 0.5736377917313611 0.5736377917313611 | 0 1
0.8803020743274148 0.8803020743274148 0.8803020743274148 | 0 1
1.2076334298536322 1.2076334298536322 1.2076334298536322 | 0 1
4.930494578746215 4.930494578746215 4.930494578746215 | 1 0
2.3204577490047775 2.3204577490047775 2.3204577490047775 | 0 1
-1.1784745884929961 -1.1784745884929961 -1.1784745884929961 | 1 0
-0.5602666168052899 -0.5602666168052899 -0.5602666168052899 | 1 0
6.219169632470438 6.219169632470438 6.219169632470438 | 1 0
3.0135411336230558 3.0135411336230558 3.0135411336230558 | 0 1
-2.0879755863940925 -2.0879755863940925 -2.0879755863940925 | 1 0
5.152622767398823 5.152622767398823 5.152622767398823 | 1 0
-3.792226724206198 -3.792226724206198 -3.792226724206198 | 0 1
-5.889843948121339 -5.889843948121339 -5.889843948121339 | 0 1
3.0145633832334635 3.0145633832334635 3.0145633832334635 | 0 1
-2.3765530575235982 -2.3765530575235982 -2.3765530575235982 | 1 0
5.808590913189766 5.808590913189766 5.808590913189766 | 1 0
-3.607096900058332 -3.607096900058332 -3.607096900058332 | 0 1
-0.6902985549901874 -0.6902985549901874 -0.6902985549901874 | 1 0
2.7670036499677924 2.7670036499677924 2.7670036499677924 | 0 1
1.9361481195637325 1.9361481195637325 1.9361481195637325 | 0 1
2.37771289834731 2.37771289834731 2.37771289834731 | 0 1
4.288473545648621 4.288473545648621 4.288473545648621 | 1 0
4.873799362285585 4.873799362285585 4.873799362285585 | 1 0
0.6875028091007547 0.6875028091007547 0.6875028091007547 | 0 1
-0.1363472213776351 -0.1363472213776351 -0.1363472213776351 | 1 0
2.9623621572128975 2.9623621572128975 2.9623621572128975 | 0 1
1.2216255421441646 1.2216255421441646 1.2216255421441646 | 0 1
3.7509858581713083 3.7509858581713083 3.7509858581713083 | 1 0
1.7841029347861959 1.7841029347861959 1.7841029347861959 | 0 1
-5.644079786490897 -5.644079786490897 -5.644079786490897 | 0 1
4.076341967143174 4.076341967143174 4.076341967143174 | 1 0
3.1457478327110824 3.1457478327110824 3.1457478327110824 | 1 0
-2.3452908626364084 -2.3452908626364084 -2.3452908626364084 | 1 0
-5.900078836716511 -5.900078836716511 -5.900078836716511 | 0 1
-0.3439018540161163 -0.3439018540161163 -0.3439018540161163 | 1 0
-4.2879266111543135 -4.2879266111543135 -4.2879266111543135 | 0 1
1.9479844422185337 1.9479844422185337 1.9479844422185337 | 0 1
2.1627938586357356 2.1627938586357356 2.1627938586357356 | 0 1
2.659052523502554 2.659052523502554 2.659052523502554 | 0 1
5.193395476823568 5.193395476823568 5.193395476823568 | 1 0
3.6187704678640262 3.6187704678640262 3.6187704678640262 | 1 0
6.176086799775343 6.176086799775343 6.176086799775343 | 1 0
-3.8896135049963 -3.8896135049963 -3.8896135049963 | 0 1
-0.7043192250332391 -0.7043192250332391 -0.7043192250332391 | 1 0
4.095612907953223 4.095612907953223 4.095612907953223 | 1 0
-0.6991269993431084 -0.6991269993431084 -0.6991269993431084 | 1 0
4.965487410666883 4.965487410666883 4.965487410666883 | 1 0
5.491707210926551 5.491707210926551 5.491707210926551 | 1 0
-3.940108448050962 -3.940108448050962 -3.940108448050962 | 0 1
-5.316179106645347 -5.316179106645347 -5.316179106645347 | 0 1
3.1977740636177234 3.1977740636177234 3.1977740636177234 | 1 0
-4.9434265478191755 -4.9434265478191755 -4.9434265478191755 | 0 1
-6.001780682088317 -6.001780682088317 -6.001780682088317 | 0 1
6.2035959425159 6.2035959425159 6.2035959425159 | 1 0
6.03496414505023 6.03496414505023 6.03496414505023 | 1 0
5.634686693652689 5.634686693652689 5.634686693652689 | 1 0
-4.779559646364972 -4.779559646364972 -4.779559646364972 | 0 1
-0.5927089449895568 -0.5927089449895568 -0.5927089449895568 | 1 0
-4.283804725863366 -4.283804725863366 -4.283804725863366 | 0 1
-2.1210107622061614 -2.1210107622061614 -2.1210107622061614 | 1 0
1.3578487817081726 1.3578487817081726 1.3578487817081726 | 0 1
1.0117754640362815 1.0117754640362815 1.0117754640362815 | 0 1
-3.5717846186129143 -3.5717846186129143 -3.5717846186129143 | 0 1
-2.4843780121477357 -2.4843780121477357 -2.4843780121477357 | 1 0
-3.434901811700109 -3.434901811700109 -3.434901811700109 | 0 1
-3.0028752745600342 -3.0028752745600342 -3.0028752745600342 | 1 0
2.4818250102140222 2.4818250102140222 2.4818250102140222 | 0 1
-4.268954862503064 -4.268954862503064 -4.268954862503064 | 0 1
1.3168330245944002 1.3168330245944002 1.3168330245944002 | 0 1
1.1965758895955592 1.1965758895955592 1.1965758895955592 | 0 1
